Latitude,Longitude,Region,Year,Season,Soil_Type,Rainfall_mm,Temperature_C,Humidity_%,Area_acres,Seed_Type,Seed_Cost (LKR),Fertilizer_Cost (LKR),Pesticide_Cost (LKR),Labor_Cost (LKR),Water_Cost (LKR),Machinery_Cost (LKR),Other_Costs (LKR),Total_Cost (LKR),Yield_kg,Cost_per_kg (LKR)
7.6211,81.7792,Batticaloa,1999,Maha,Silt,1339.04,30.48,89.58,3.22,At306,2287.32,6554.34,1035.34,13617.93,2291.77,5335.93,1389.28,32615.62,5270.64,5.17
7.4679,80.4119,Kurunegala,1999,Maha,Silt,1660.23,26.85,79.9,0.65,BG358,3891.45,4614.51,1932.21,8823.26,2327.06,5861.85,722.76,28563.33,1904.82,12.54
7.4463,80.4229,Kurunegala,1999,Maha,Silt,1175.6,27.0,85.23,3.28,BG300,1540.69,3743.54,1996.11,6837.5,2954.06,6723.6,550.73,24001.23,10887.95,1.84
7.7355,81.7996,Batticaloa,1999,Maha,Silt,1335.39,32.74,70.24,4.86,At402,1372.1,7767.63,1708.12,14484.76,1399.88,5900.44,2026.58,34678.71,12939.48,2.24
8.0858,81.0871,Polonnaruwa,1999,Yala,Clay,1833.15,31.38,88.9,4.32,BG300,1966.01,5570.69,1045.72,14161.37,2505.95,4143.72,1531.94,31023.57,9346.66,2.78
7.3769,81.7659,Ampara,1999,Maha,Loam,1288.43,26.29,73.38,1.75,BG352,1761.42,3766.46,1031.55,10062.07,1675.24,4876.35,1252.24,24583.56,2759.99,7.45
7.3441,81.7498,Ampara,1999,Yala,Sandy Loam,2198.17,32.99,77.01,3.95,BG300,2415.64,5716.95,1874.01,13493.43,3291.1,7058.68,1109.88,34894.32,11302.61,2.58
8.4424,80.5172,Anuradhapura,1999,Yala,Clay,1816.73,26.04,76.49,2.15,BG352,2398.89,6791.94,1476.86,9961.64,1740.08,4924.86,793.26,27732.84,5621.64,4.13
9.6951,80.0377,Jaffna,1999,Yala,Clay,2060.63,26.35,71.46,2.31,BG358,2105.46,4482.89,1298.09,12910.08,3177.13,5096.92,1921.55,30843.77,5500.37,4.69
7.3632,81.7372,Ampara,1999,Yala,Loam,2092.74,31.44,83.12,1.3,BG352,2831.85,8233.97,2389.06,6591.6,1588.98,3620.21,1622.16,27141.93,2466.79,9.2
7.653,81.7779,Batticaloa,1999,Maha,Loam,2274.96,30.68,79.25,2.35,BG352,3140.01,6043.82,934.54,10491.92,2921.95,5389.35,501.88,29661.39,4406.69,5.63
8.0549,81.0577,Polonnaruwa,1999,Yala,Sandy Loam,1040.75,26.46,79.28,4.59,BG352,2813.45,5806.38,1006.35,11690.92,2954.57,4963.59,1704.65,31325.91,8627.39,3.04
9.6501,80.0436,Jaffna,1999,Maha,Clay,1784.99,28.01,85.86,3.1,BG358,3092.34,7302.76,1489.18,13837.59,2353.98,3761.88,1572.16,33653.6,6471.03,4.35
8.3291,80.4699,Anuradhapura,1999,Maha,Loam,1184.5,29.91,76.86,3.78,BG352,3143.85,7540.56,1982.02,9805.71,2644.72,4396.19,924.64,30677.84,8791.91,2.92
7.3121,81.6904,Ampara,1999,Yala,Loam,1449.09,28.51,86.09,1.75,BG300,1859.43,8098.24,845.77,14525.11,2652.73,7383.84,905.2,35866.7,5008.41,5.99
9.7908,80.1847,Jaffna,1999,Yala,Sandy Loam,1610.66,26.46,76.98,1.0,BG358,3597.43,8049.57,951.24,14170.21,2332.27,4526.83,543.27,34171.34,2966.13,9.63
7.4776,80.3419,Kurunegala,1999,Yala,Loam,1277.79,27.22,71.97,3.47,At402,3469.85,4645.75,865.85,6915.69,3257.39,4504.57,1694.03,25456.74,7659.36,2.78
7.4679,80.4119,Kurunegala,2000,Maha,Silt,1660.23,26.85,79.9,0.65,BG358,4086.02,4845.23,2028.82,9264.42,2443.41,6154.94,758.9,29991.5,1923.86,13.16
7.4463,80.4229,Kurunegala,2000,Maha,Silt,1175.6,27.0,85.23,3.28,BG300,1617.73,3930.72,2095.92,7179.38,3101.76,7059.78,578.27,25201.29,10996.83,1.94
7.7355,81.7996,Batticaloa,2000,Maha,Silt,1335.39,32.74,70.24,4.86,At402,1440.7,8156.01,1793.53,15209.0,1469.87,6195.46,2127.91,36412.64,13068.88,2.35
