Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note
32.5,59.5,30.2,84.8,Tillering,Organic Compost,32.1,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
28.2,52.2,28.9,60.4,Panicle Initiation,Urea,19,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
33.4,42.5,27.3,61.5,Harvest,Organic Compost,15.5,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
28.4,32.5,31,66.9,Seedling,Urea,23.7,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
32.4,50.8,26.7,67.1,Panicle Initiation,DAP,24.3,Phosphorus for root development,Ensure soil testing before application.
25.7,59.1,33.7,85.2,Panicle Initiation,DAP,25,Phosphorus for root development,Avoid chemical overuse; combine with compost.
23.8,43.3,32.4,89.4,Tillering,MOP,19.7,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.
31.8,57.1,35,83.7,Panicle Initiation,DAP,27.1,Phosphorus for root development,Prefer organic alternatives where possible.
26.9,56.9,33.1,95,Flowering,MOP,22.8,Potassium for stem and disease resistance,Use split application to reduce leaching.
26.3,37.1,30.7,70.1,Flowering,MOP,24.7,Potassium for stem and disease resistance,Ensure soil testing before application.
32.9,58.7,31.5,65.8,Tillering,MOP,18.5,Potassium for stem and disease resistance,Prefer organic alternatives where possible.
24.2,37.8,27.8,69.2,Tillering,Urea,34.3,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
32,41.3,30.4,80.5,Harvest,Organic Compost,13.6,Improves soil structure and moisture retention,Use split application to reduce leaching.
27.6,56.1,31,64.2,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.
33.5,26.7,34.4,60.2,Harvest,Organic Compost,14.9,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
24.4,40.5,35.6,76.5,Flowering,Zinc Sulphate,10.5,Improves grain quality and resistance,Use split application to reduce leaching.
33.2,61,35.2,80.2,Tillering,Urea,32.4,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
26.9,27.4,34,63.7,Flowering,Zinc Sulphate,10.2,Improves grain quality and resistance,Prefer organic alternatives where possible.
22.4,39.1,35.2,92,Seedling,DAP,19.6,Phosphorus for root development,Avoid chemical overuse; combine with compost.
27.8,63.2,26.4,78,Seedling,DAP,21.8,Phosphorus for root development,Ensure soil testing before application.
25.6,27.2,32.2,79.8,Flowering,MOP,25.5,Potassium for stem and disease resistance,Ensure soil testing before application.
28.3,66.3,34.4,90.2,Panicle Initiation,Urea,21.7,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
24.9,63.7,29.6,81.5,Harvest,Organic Compost,14.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
32.9,49,27.8,91.1,Flowering,MOP,27.1,Potassium for stem and disease resistance,Prefer organic alternatives where possible.
26.2,33.6,35.3,81.4,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Ensure soil testing before application.
33.9,36.3,33.2,82.3,Tillering,Urea,38.3,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
32.2,66.6,29.1,92.5,Flowering,MOP,26.7,Potassium for stem and disease resistance,Use split application to reduce leaching.
30.1,38.3,30.9,70.7,Flowering,MOP,24.7,Potassium for stem and disease resistance,Use split application to reduce leaching.
25.3,45.2,35.4,76.2,Panicle Initiation,Urea,21.5,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
32.2,73,30.8,91.3,Panicle Initiation,Urea,21.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
26.7,46.5,34.2,64.9,Flowering,MOP,24.2,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.
30.2,58.5,35.3,85.9,Tillering,Urea,38.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
22.6,52.6,30.2,70.5,Harvest,Organic Compost,13.6,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
24.6,47.9,31.9,80,Flowering,MOP,23.7,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.
30.5,41.5,30,81.3,Tillering,Organic Compost,27.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
30.9,36.6,31.8,89.9,Tillering,Urea,34.5,Nitrogen boost for vegetative growth,Ensure soil testing before application.
24.2,50.9,31.7,94.7,Panicle Initiation,DAP,24.4,Phosphorus for root development,Use split application to reduce leaching.
28.8,46.6,30.5,74.7,Seedling,DAP,21.1,Phosphorus for root development,Prefer organic alternatives where possible.
29.9,73.8,27.9,76.8,Flowering,Zinc Sulphate,9.9,Improves grain quality and resistance,Ensure soil testing before application.
29.1,65,30,83.3,Harvest,Organic Compost,14.6,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
26.9,70.4,33.3,74.8,Panicle Initiation,Urea,21.7,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
23.2,41.1,33.1,85.1,Panicle Initiation,DAP,22.9,Phosphorus for root development,Avoid chemical overuse; combine with compost.
27.5,43.2,33.9,61.6,Seedling,Urea,25.9,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
22.2,53.5,27.6,60.9,Harvest,Organic Compost,13.8,Improves soil structure and moisture retention,Ensure soil testing before application.
25.8,74.5,32.8,64.2,Tillering,Organic Compost,31.8,Improves soil structure and moisture retention,Use split application to reduce leaching.
28.7,25.5,31.5,82.4,Harvest,Organic Compost,14.4,Improves soil structure and moisture retention,Ensure soil testing before application.
26,61.3,32.3,89,Tillering,Urea,37,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
32,29.4,27.8,89.2,Panicle Initiation,Urea,19.2,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
33.6,38,30.6,93.4,Seedling,DAP,21.2,Phosphorus for root development,Use split application to reduce leaching.
23.4,48.3,35.3,76.8,Tillering,Urea,35.9,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
31,69.2,34.8,72.8,Seedling,DAP,20.5,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.
24.8,58.6,27,85,Harvest,Organic Compost,14.7,Improves soil structure and moisture retention,Use split application to reduce leaching.
23.5,47,35.7,67.6,Harvest,Organic Compost,14.2,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
28,62.4,31.3,75.9,Harvest,Organic Compost,15.5,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
22.4,58.6,30.7,80.8,Seedling,Urea,27.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
29,36.9,34.5,66.4,Tillering,MOP,20.2,Potassium for stem and disease resistance,Use split application to reduce leaching.
22.8,49.2,35.4,60.8,Tillering,MOP,20.2,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
26.4,74.4,28.6,93.4,Tillering,MOP,19.9,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.
22.1,32.1,31.1,90.6,Tillering,MOP,21.8,Potassium for stem and disease resistance,Ensure soil testing before application.
30.5,65.7,31.5,75.9,Seedling,Urea,22.6,Nitrogen boost for vegetative growth,Ensure soil testing before application.
26.9,60.9,32.6,65.5,Harvest,Organic Compost,15.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
24,69.9,33.2,71.8,Tillering,MOP,20.4,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
32.8,34.3,32,87,Tillering,Organic Compost,30.6,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
33.1,72.9,29.8,67.5,Flowering,MOP,27.3,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
23.9,62.1,31.1,87,Harvest,Organic Compost,15.9,Improves soil structure and moisture retention,Ensure soil testing before application.
32.5,48.7,29.8,72.4,Seedling,Urea,24.3,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
30.5,50.8,26.8,75.7,Tillering,Organic Compost,29.5,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
30.1,36.9,26.8,75.1,Harvest,Organic Compost,16,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
25,27.2,26.5,65,Panicle Initiation,DAP,26.8,Phosphorus for root development,Avoid chemical overuse; combine with compost.
28.1,28,32.8,85.7,Harvest,Organic Compost,15.3,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
25.2,46,28,84.8,Tillering,Organic Compost,29.4,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
27.8,61.9,26.1,83.9,Seedling,Urea,26,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
24.9,73.5,33.1,65.6,Harvest,Organic Compost,13.7,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
23.2,42.1,26.4,79.9,Panicle Initiation,Urea,20,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
26.6,50.6,30.4,94.7,Flowering,Zinc Sulphate,9.2,Improves grain quality and resistance,Prefer organic alternatives where possible.
22,36.5,35.3,69.4,Harvest,Organic Compost,13.5,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
26.2,51,31.1,74.1,Flowering,Zinc Sulphate,9.1,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.
33.5,31.5,31.6,85.2,Panicle Initiation,DAP,24.3,Phosphorus for root development,Avoid chemical overuse; combine with compost.
23.3,48.5,29.6,77.3,Tillering,MOP,20.2,Potassium for stem and disease resistance,Ensure soil testing before application.
24,69.7,27,79.2,Tillering,Organic Compost,27.6,Improves soil structure and moisture retention,Ensure soil testing before application.
30.3,45.2,28.5,76.3,Harvest,Organic Compost,13.5,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
26.2,36.2,27.3,89.3,Harvest,Organic Compost,15.2,Improves soil structure and moisture retention,Ensure soil testing before application.
24.2,45.3,34.2,82.7,Harvest,Organic Compost,14.3,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
30.5,37.1,29.5,80.8,Harvest,Organic Compost,16.2,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
30,41.6,28.4,71.1,Flowering,MOP,24.8,Potassium for stem and disease resistance,Use split application to reduce leaching.
31.5,42.7,26.1,66,Seedling,Urea,26.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
32.8,60.9,30.6,71.5,Tillering,Organic Compost,29,Improves soil structure and moisture retention,Use split application to reduce leaching.
31.1,46.1,34.9,83.9,Flowering,MOP,25.6,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.
23.9,58.2,27.2,73.7,Panicle Initiation,DAP,26.5,Phosphorus for root development,Ensure soil testing before application.
27.6,37.7,32,77.6,Flowering,MOP,24,Potassium for stem and disease resistance,Use split application to reduce leaching.
32,38,34.8,91.3,Seedling,Urea,27,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
31.2,49.1,35.9,87.1,Panicle Initiation,Urea,21.4,Nitrogen boost for vegetative growth,Ensure soil testing before application.
30.3,33.1,29.9,67.2,Tillering,Organic Compost,32.2,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
28.5,53.4,29.2,63.7,Panicle Initiation,Urea,19.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
23.3,44.2,32.4,85.4,Panicle Initiation,Urea,19.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
30,35.4,30.5,66,Tillering,Urea,33.4,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
33,29.7,26.6,88,Harvest,Organic Compost,14.3,Improves soil structure and moisture retention,Ensure soil testing before application.
26.1,73.4,26.5,87.4,Panicle Initiation,DAP,26,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.
32.1,33.1,31.4,93.1,Harvest,Organic Compost,16.4,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
29.4,31.4,35,61,Seedling,DAP,18.3,Phosphorus for root development,Avoid chemical overuse; combine with compost.
31.9,67,30.5,69.8,Flowering,MOP,24.7,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
26.2,57,28.2,67.2,Seedling,DAP,20.5,Phosphorus for root development,Prefer organic alternatives where possible.
28.1,40.1,30.7,65.7,Panicle Initiation,DAP,23.4,Phosphorus for root development,Use split application to reduce leaching.
29,63.2,31.2,70.9,Panicle Initiation,Urea,20,Nitrogen boost for vegetative growth,Ensure soil testing before application.
24.3,46.7,35.6,81.8,Harvest,Organic Compost,13.7,Improves soil structure and moisture retention,Ensure soil testing before application.
27.9,65.4,32.8,69.6,Panicle Initiation,DAP,22.8,Phosphorus for root development,Avoid chemical overuse; combine with compost.
30.8,63.6,26.2,79.8,Seedling,Urea,25.6,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
31,50.2,33.7,73.9,Seedling,Urea,24.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
23.2,42.8,33,92.5,Seedling,Urea,24.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
22.7,35.2,27.4,67.1,Seedling,Urea,24.2,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
22.2,69.4,29.3,69.1,Panicle Initiation,Urea,19.8,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
29.5,25.6,35.5,68.8,Panicle Initiation,DAP,26.6,Phosphorus for root development,Prefer organic alternatives where possible.
